date,pb95_max,pb98_max,on_max,url
2026-04-08,6.21,6.82,7.87,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-8-kwietnia-2026-r
2026-04-09,6.27,6.88,7.83,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-9-kwietnia-2026-r
2026-04-10,6.17,6.77,7.66,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-10-kwietnia-2026-r
2026-04-14,6.12,6.7,7.58,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-14-kwietnia-2026-r
2026-04-15,6.16,6.7,7.41,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-15-kwietnia-2026-r
2026-04-16,6.08,6.61,7.23,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-16-kwietnia-2026-r
2026-04-17,6.04,6.59,7.18,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-17-kwietnia-2026-r
2026-04-21,6.0,6.54,6.92,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-21-kwietnia-2026-r
2026-04-22,5.95,6.5,6.75,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-22-kwietnia-2026-r
2026-04-23,5.97,6.56,6.71,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-23-kwietnia-2026-r
2026-04-24,6.03,6.62,6.79,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-24-kwietnia-2026-r
2026-04-25,6.17,6.71,7.01,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-w-okresie-25-27-kwietnia-2026-r
2026-04-26,6.17,6.71,7.01,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-w-okresie-25-27-kwietnia-2026-r
2026-04-27,6.17,6.71,7.01,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-w-okresie-25-27-kwietnia-2026-r
2026-04-28,6.21,6.72,7.12,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-28-kwietnia-2026-r
2026-04-29,6.23,6.73,7.22,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-29-kwietnia-2026-r
2026-04-30,6.28,6.77,7.14,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-30-kwietnia-2026-r
2026-05-05,6.49,6.99,7.31,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-5-maja-2026-r
2026-05-07,6.46,6.95,7.26,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-7-maja-2026-r
2026-05-08,6.41,6.9,7.17,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-8-maja-2026-r
2026-05-09,6.35,6.85,7.03,/web/energia/maksymalna-cena-detaliczna-paliw-obowiazujaca-w-okresie-09-11-maja-2026-r
