date,pb95,pb98,on
2023-01-01,5106.0,5470.0,6094.0
2023-01-04,5155.0,5522.0,6113.0
2023-01-05,5122.0,5492.0,6081.0
2023-01-06,5137.0,5518.0,6045.0
2023-01-10,5075.0,5449.0,6020.0
2023-01-11,5069.0,5434.0,6011.0
2023-01-12,5075.0,5447.0,6007.0
2023-01-13,5172.0,5541.0,6071.0
2023-01-14,5194.0,5563.0,6096.0
2023-01-17,5209.0,5570.0,6111.0
2023-01-18,5273.0,5626.0,6160.0
2023-01-19,5297.0,5637.0,6203.0
2023-01-20,5313.0,5651.0,6186.0
2023-01-21,5353.0,5684.0,6200.0
2023-01-24,5408.0,5739.0,6245.0
2023-01-25,5448.0,5778.0,6223.0
2023-01-26,5473.0,5803.0,6219.0
2023-01-27,5444.0,5801.0,6214.0
2023-01-28,5438.0,5796.0,6177.0
2023-01-31,5427.0,5781.0,6095.0
2023-02-01,5405.0,5741.0,6037.0
2023-02-02,5369.0,5684.0,5982.0
2023-02-03,5311.0,5620.0,5890.0
2023-02-04,5254.0,5558.0,5807.0
2023-02-07,5255.0,5506.0,5786.0
2023-02-08,5308.0,5580.0,5837.0
2023-02-09,5313.0,5584.0,5833.0
2023-02-10,5300.0,5572.0,5805.0
2023-02-11,5415.0,5681.0,5851.0
2023-02-14,5422.0,5658.0,5891.0
2023-02-15,5409.0,5640.0,5885.0
2023-02-16,5391.0,5648.0,5852.0
2023-02-17,5382.0,5646.0,5836.0
2023-02-18,5358.0,5626.0,5805.0
2023-02-21,5339.0,5636.0,5767.0
2023-02-22,5327.0,5655.0,5730.0
2023-02-23,5313.0,5630.0,5710.0
2023-02-24,5308.0,5645.0,5686.0
2023-02-25,5306.0,5657.0,5694.0
2023-02-28,5305.0,5701.0,5715.0
2023-03-01,5360.0,5758.0,5786.0
2023-03-02,5347.0,5743.0,5763.0
2023-03-03,5332.0,5726.0,5761.0
2023-03-04,5345.0,5741.0,5763.0
2023-03-07,5353.0,5748.0,5764.0
2023-03-08,5357.0,5747.0,5743.0
2023-03-09,5368.0,5757.0,5721.0
2023-03-10,5364.0,5750.0,5583.0
2023-03-11,5349.0,5733.0,5606.0
2023-03-14,5325.0,5708.0,5560.0
2023-03-15,5304.0,5687.0,5539.0
2023-03-16,5249.0,5633.0,5312.0
2023-03-17,5209.0,5598.0,5346.0
2023-03-18,5192.0,5582.0,5394.0
2023-03-21,5185.0,5577.0,5412.0
2023-03-22,5188.0,5581.0,5412.0
2023-03-23,5225.0,5618.0,5421.0
2023-03-24,5262.0,5653.0,5385.0
2023-03-25,5297.0,5688.0,5390.0
2023-03-28,5336.0,5719.0,5392.0
2023-03-29,5380.0,5757.0,5403.0
2023-03-30,5437.0,5797.0,5360.0
2023-03-31,5382.0,5722.0,5328.0
2023-04-01,5399.0,5738.0,5334.0
2023-04-04,5433.0,5777.0,5374.0
2023-04-05,5416.0,5787.0,5376.0
2023-04-06,5426.0,5801.0,5386.0
2023-04-07,5448.0,5829.0,5408.0
2023-04-12,5461.0,5859.0,5389.0
2023-04-13,5473.0,5876.0,5381.0
2023-04-14,5465.0,5884.0,5367.0
2023-04-15,5464.0,5868.0,5338.0
2023-04-18,5435.0,5849.0,5269.0
2023-04-19,5396.0,5813.0,5246.0
2023-04-20,5334.0,5747.0,5224.0
2023-04-21,5272.0,5684.0,5083.0
2023-04-22,5225.0,5635.0,5098.0
2023-04-25,5197.0,5607.0,5099.0
2023-04-26,5163.0,5567.0,5038.0
2023-04-27,5151.0,5553.0,4980.0
2023-04-28,5131.0,5527.0,4916.0
2023-04-29,5130.0,5522.0,4939.0
2023-05-03,5089.0,5476.0,4910.0
2023-05-05,5018.0,5404.0,4793.0
2023-05-06,5003.0,5387.0,4794.0
